net,length_um
clknet_0_clk,1365.99
net127,1236.71
_02086_,1131.17
_01980_,1071.53
_02070_,1055.06
_01960_,1038.57
_02066_,995.96
_01973_,961.16
_01969_,952.935
net128,950.37
_04065_,945.1
net126,940.06
_01979_,934.57
_01997_,925.2
_04101_,912.29
_01974_,864.05
_02079_,859.09
_01977_,853.655
_01970_,850.98
_01999_,829.24
_02000_,824
_01984_,823.51
_04211_,822.27
_01996_,820.54
_02027_,820.08
_03639_,816.46
_01971_,811.21
_01907_,808.33
_01982_,807.15
_01986_,804.73
_01985_,802.11
_01976_,793.26
_04579_,777.76
_01990_,775.035
_02075_,774.24
_04133_,774.22
_02085_,769.49
_02004_,769.48
_03687_,764.32
_04296_,763.22
net202,760.385
_04064_,756.5
_04575_,752.55
_04054_,750.72
net197,748.78
net198,747.71
_02074_,741.18
_04084_,740.97
_02017_,740.01
_03683_,736.675
net218,735.54
_02012_,735.3
decoded_imm\[23\],732.46
_01992_,729.04
_04284_,724.53
net220,718.57
net217,702.38
_02069_,701.98
_04758_,699.13
_04231_,698.785
net194,690.66
_02002_,688.44
_01909_,686.965
net223,686.82
_02181_,686.4
net219,681.71
_02006_,681.67
_04237_,675.055
_02098_,674.57
_02009_,674.17
_03642_,673.23
_03641_,672.54
_03645_,669.23
_04068_,667.13
_04759_,666.79
_04069_,665.85
_02088_,664.16
_02148_,662.9
_02031_,661.26
_04512_,660.41
_04091_,657.54
_07778_,657.38
_06348_,656.59
_03240_,651.77
_03684_,648.34
_06518_,647.71
_06446_,646.86
_04430_,642.84
_01905_,642.3
_02030_,641.55
_04369_,641.54
net195,639.72
_04086_,638.17
_01968_,637.84
_04087_,636.04
net196,634.77
_04225_,634.64
_04085_,632.76
_04077_,632.38
_02013_,632.23
_04057_,632.09
_03116_,630.81
_05286_,630.575
_06482_,627.37
_04702_,625.96
_03661_,625.195
_04060_,624.02
_04335_,622.85
_01991_,622.56
_03692_,622.415
_01908_,620.765
_04222_,619.86
_04217_,615.72
_04273_,615.675
net214,615.47
_04283_,607.8
_04121_,607.4
_04053_,607.255
_02018_,606.91
_03662_,603.59
_04082_,603.48
_02870_,603.02
_02022_,599.47
_06409_,599.38
_03647_,596.85
_04059_,593.275
_03152_,591.41
_04219_,590.95
_04472_,590.17
net222,587.14
_06825_,585.63
_06943_,585.59
_04287_,585.12
_04223_,583.38
net99,583.15
_06836_,582.49
_06799_,581.79
net221,580.15
_04072_,579.81
_04074_,578.06
_03026_,577.32
_07118_,576.89
_04100_,576.71
_06424_,575.43
_02014_,575.09
net200,574.88
_04081_,574.54
_07032_,573.78
_03640_,573.47
_02020_,572.955
_03040_,572.8
_04473_,571.63
_05413_,570.795
_02954_,569.68
_04289_,569.6
_03664_,568.51
_06774_,568.31
_07010_,567.95
_07057_,567.7
_05255_,566.005
_02968_,565.975
_02023_,565.72
_06715_,564.62
_07140_,564.19
_06726_,564.18
_02859_,563.86
net203,563.71
_04233_,563.61
_06752_,562.69
_07176_,561.61
_02037_,561.465
_06869_,559.69
_03654_,558.94
_06964_,557.98
_06086_,552.62
_02166_,552.36
_04124_,552.27
net125,551.805
_02932_,551.71
_03163_,551.38
_06906_,550.9
_03127_,550.59
_06737_,550.47
_04078_,549.54
net199,548.49
_03709_,548.35
_03062_,547.925
_06985_,547.3
_02005_,545.7
_02221_,545.39
_07082_,545.17
_02349_,545.01
_04206_,544.685
_02441_,544.66
_07154_,544.62
_04214_,544.585
_05324_,544.125
_02222_,543.95
_04216_,543.6
_06176_,543.31
_07046_,542.55
_02268_,542.33
_04022_,541.95
_06435_,541.615
_02943_,541.43
net204,541.34
_07104_,540.87
_06200_,540.72
_03239_,539.03
_06387_,538.84
_06576_,537.2
_06891_,536.65
_04805_,536.25
_03004_,535.095
net201,533.78
_00068_,533.65
_03098_,533.51
_06689_,533.215
_03713_,533.075
net205,532.78
_04513_,530.37
_03719_,530.36
_06398_,530.3
_06917_,530.16
_06663_,529.88
_04123_,529.64
_04447_,529.51
net66,529.36
_04271_,528.87
_06652_,527.04
_04208_,525.43
_02650_,525.33
_04277_,524.39
_04056_,524.355
_02896_,524.27
_07165_,523.57
_06534_,523.27
_04776_,522.84
_02918_,522.09
_06788_,520.68
_04232_,520.63
_06810_,519.53
_06555_,519.44
_04320_,519.1
_04227_,518.26
_04376_,517.41
_02427_,517.2
_04207_,516.15
_06258_,516.12
_06507_,514.99
_07129_,514.02
_04285_,513.78
_03076_,513.45
_04095_,512.27
_04321_,511.71
_06928_,511.695
_06626_,510.055
_02250_,509.48
_04282_,509.01
_06460_,507.47
_07068_,507.24
_07021_,503.88
_06700_,503.63
_01918_,503.29
_04317_,503.05
_07093_,502.66
_04477_,502.62
_07737_,502.51
_04290_,500.9
_04532_,499.94
_04291_,499.595
_01937_,499.4
_02215_,499.4
clknet_4_4_0_clk,498.67
_04382_,497.76
_03087_,497.74
_06370_,497.655
_06496_,496.6
net67,496.14
_01989_,494.56
_06615_,494.07
_03643_,493.75
_02047_,493.39
net93,492.665
_06880_,492.39
clknet_4_1_0_clk,492.1
_04071_,491.98
_06641_,491.635
_03670_,491.45
_04073_,490.26
_04292_,490.14
_06053_,489.23
_04281_,488.83
_03653_,487.93
net72,487.22
_03015_,486.62
_02196_,485.995
_06763_,485.63
_04329_,485.53
_06026_,485.1
_06471_,484.55
_02364_,484.1
_04274_,483.87
_04280_,483.39
_04218_,483.265
_04215_,483.26
_04470_,480.49
_04275_,480.3
_02907_,478.55
clknet_4_7_0_clk,477.78
_03304_,477.655
_03051_,476.96
_06678_,476.28
_02110_,474.84
_02118_,474.04
_03305_,473.93
_02046_,473.745
_01963_,473.47
_03666_,473.15
_06223_,473.09
_03657_,472.84
_02990_,472.325
_01919_,465.94
_04419_,465.12
_04168_,463.925
_07675_,463.83
_02133_,463.02
decoded_imm\[16\],462.99
_06604_,462.73
net73,461.04
_07208_,460.045
_04483_,459.59
_04848_,459.495
clknet_4_14_0_clk,459.475
_03675_,456.91
_01906_,456.76
_04708_,456.445
_06359_,454.75
decoded_imm\[11\],453.54
_03301_,452.72
_04058_,452.15
_04276_,452.05
_04052_,451.53
_04960_,450.695
net12,450.56
net23,450.42
_02979_,449.635
_03649_,449.13
net258,445.76
_03302_,445.34
clknet_4_3_0_clk,444.49
_04456_,441.735
net110,440.81
_05517_,440.305
_06847_,439.81
decoded_imm\[18\],439.46
