net,length_um
_18810_,1893.46
_08297_,1880.36
_08337_,1858.29
_08241_,1850.21
_08228_,1849.18
_08506_,1837.47
_13219_,1809.74
_13764_,1792.51
_13334_,1777.07
_08413_,1747.8
_13420_,1746.605
_13355_,1722.3
_08440_,1720.08
_08380_,1718.18
_19272_,1689.93
_08329_,1684.96
_08391_,1668.18
_08406_,1650.59
_08333_,1649.6
_08286_,1647.96
_12868_,1645.5
_08271_,1639.16
_12922_,1624.835
_08396_,1624.05
_08409_,1607.65
_08403_,1607.28
_13290_,1593.34
_08508_,1591.54
_13488_,1589.15
_13301_,1577.29
_08274_,1551.59
_14359_,1549.63
_13164_,1536.64
_12879_,1527.025
_19343_,1525.64
_13366_,1525.24
_08424_,1521.31
_13451_,1510.68
_08323_,1494.73
_13399_,1491.3
_08282_,1487.655
_13432_,1478.58
_08291_,1470.57
_17678_,1464.63
_08377_,1457.82
_08398_,1457.56
_08326_,1454.725
_19785_,1434.32
_19408_,1428.93
_12854_,1422.92
_16030_,1417.88
_08432_,1416.91
_19841_,1403.31
_21781_,1394.325
_08318_,1391.65
_08321_,1388.6
_13378_,1377.35
_12779_,1376.4
_17485_,1361.66
_08393_,1359.51
_12935_,1358.98
_13312_,1353.43
clknet_2_1_0_clk,1338.15
_20152_,1329.87
_08289_,1316.28
_08302_,1315
_08365_,1311.22
_12867_,1303.96
_12990_,1294.605
_08549_,1291.38
_16080_,1291.02
_16996_,1290.96
_12760_,1289.36
_21697_,1288.6
_12936_,1281.98
_20234_,1275.845
_08422_,1265.58
_12967_,1265.53
_15356_,1262.68
_20575_,1260.135
_19890_,1259.72
_08496_,1258.02
_13196_,1253.215
_16975_,1251.205
_13021_,1246.2
_13541_,1242.18
_17207_,1238.92
_13032_,1238.37
_21760_,1234.115
_17077_,1231.39
_17218_,1227.94
_19774_,1224.88
clknet_2_2_0_clk,1224.01
_08351_,1218.52
_20092_,1210.89
_20579_,1206.6
_15017_,1204.13
_08490_,1200.39
_08279_,1194.09
_18028_,1192.3
clknet_2_3_0_clk,1191.94
_08299_,1191.25
_12804_,1189.99
_20119_,1189.13
_12705_,1189.09
_12761_,1174.085
_19879_,1173.87
_15662_,1170.5
_17037_,1169.37
_21979_,1168.53
_20573_,1168.45
_08361_,1166.57
_13239_,1161.84
_13045_,1161.48
_17464_,1157.755
_13067_,1155.905
_19636_,1151.34
_15629_,1149.85
_20255_,1149.625
_08499_,1148.59
_08349_,1147.62
_08580_,1142.08
_18425_,1137.345
_13020_,1134.63
_12880_,1132.255
_20287_,1131.66
_12855_,1129.805
_12831_,1124.74
_08234_,1123.2
_08416_,1122.94
_20564_,1120.44
_08392_,1115.42
_17363_,1111.95
_20569_,1109.89
_20571_,1108.11
_08315_,1107.67
_08481_,1101.69
_16008_,1096.48
_08539_,1092.8
clknet_2_0_0_clk,1088.285
_12677_,1087.4
_15034_,1083.515
_18419_,1080.435
_13089_,1079.84
_18422_,1079.24
_08357_,1076.14
_12991_,1074.835
_21396_,1073.96
_15037_,1072.96
_18416_,1071.21
_20565_,1067.64
_20193_,1064.83
_20581_,1061.6
_08311_,1060.84
_12805_,1057.6
_12706_,1055.765
_21446_,1054.89
_13112_,1049.78
_08375_,1047.76
_08256_,1045.3
