net,length_um
clknet_0_clk,877.44
net71,781.18
net47,776.65
net48,756.72
net72,755.3
net49,707.08
net50,680.4
net80,587.72
net78,542.8
_0556_,538.02
net76,519.24
net74,502.9
_0553_,474.16
clk,470.52
_0547_,437.28
_0522_,420.58
_0542_,393.675
_0536_,385.08
_0629_,375.88
_0592_,356.34
_0535_,326.86
_0174_,325.62
config_en,323.85
_0232_,323.82
_0726_,321.04
net52,319.22
xfer.dout_data\[1\],289.68
_0438_,280.66
_0550_,280.01
_0526_,278.85
_0456_,278.34
net2,278.32
_0636_,277.72
xfer.dout_data\[4\],275.96
_0624_,275.24
net3,270.55
net6,266.88
_0237_,265.9
net4,264.945
net14,264.24
xfer.dout_data\[2\],264.22
clknet_4_5_0_clk,263.64
net51,262.54
_0267_,260.28
_0233_,260.26
net22,260.07
_0459_,260.02
clknet_4_8_0_clk,257.9
net19,253.3
net24,251.815
net13,251.655
_0500_,251.5
xfer.dout_data\[3\],249.84
net23,249.495
xfer.dout_data\[0\],248.02
clknet_4_15_0_clk,247.62
xfer.dout_data\[5\],247.075
net21,246.74
net20,245.7
net9,245.14
rd_inc,244.66
_0363_,242.355
_0491_,239.54
config_qspi,238.42
clknet_4_4_0_clk,238.2
_0455_,236.82
_0483_,231.46
_0645_,229.78
_0559_,221
config_do\[2\],220.03
clknet_4_14_0_clk,216.92
clknet_4_13_0_clk,216.9
_0669_,216.7
clknet_4_10_0_clk,216.695
net17,216.21
_0333_,214.035
xfer.dout_data\[6\],213.76
net7,212.56
net75,212.52
xfer.dout_data\[7\],212.04
_0478_,210.11
_0454_,210.04
_0249_,207.42
clknet_4_12_0_clk,207.115
_0437_,206.28
net8,206.17
clknet_4_6_0_clk,205.2
net5,204.32
config_do\[0\],203.44
config_do\[1\],203.28
clknet_4_11_0_clk,202.4
_0448_,199.63
net18,197.345
_0487_,195.98
_0479_,192.56
clknet_4_1_0_clk,188.1
_0345_,185.07
clknet_4_9_0_clk,184.055
config_do\[3\],178.16
_0573_,177.455
net15,173.9
_0585_,172
_0499_,170.44
net11,169.1
net16,168.44
clknet_4_0_0_clk,168.32
xfer.xfer_ddr,168.3
_0373_,167.585
net113,167.38
net10,166.78
clknet_4_2_0_clk,166.48
clknet_4_7_0_clk,163.62
_0503_,159.32
clknet_4_3_0_clk,154.355
config_cont,153.66
_0715_,152.92
_0541_,152.42
rd_addr\[18\],150.76
xfer.count\[1\],149.185
_0436_,147.41
state\[4\],147.03
net87,145.18
net56,144.44
_0571_,142.58
xfer.count\[3\],139.32
xfer.count\[0\],138.74
_0533_,136.96
_0497_,136.14
_0731_,135.755
net84,133
net45,132.52
_0528_,130.555
net85,130.51
net57,129.52
rd_addr\[10\],126.36
_0481_,125.65
state\[12\],125.36
rd_addr\[8\],124.22
_0696_,123.84
_0350_,123.475
net59,122.18
_0485_,121.37
_0321_,118.23
state\[0\],118.12
_0427_,117.12
_0534_,116.26
_0703_,116.04
rd_addr\[20\],115.585
_0376_,114.435
_0349_,113.1
net86,112.76
_0530_,111.18
_0519_,106.68
net46,106.08
_0371_,104.5
net65,104.1
_0324_,101.6
_0634_,101.12
_0698_,100.22
net58,98.42
_0366_,98.24
_0686_,97.82
_0538_,97.52
rd_addr\[3\],96.16
_0674_,95.89
net82,95.84
net96,94.22
net111,93
rd_addr\[4\],92.96
net43,91.08
xfer.din_qspi,90.92
_0569_,90.04
xfer.din_data\[2\],89.82
_0316_,89.525
_0635_,89.18
_0673_,88.58
_0446_,86.975
xfer.din_rd,86.84
_0348_,85.82
net44,83.08
_0684_,82.18
_0680_,81.14
_0451_,80.88
_0382_,80.48
xfer.din_data\[3\],80.16
_0690_,79.705
_0700_,79.52
_0449_,79.32
_0358_,79.1
net83,78.28
_0486_,76.88
_0378_,76.84
config_oe\[0\],76.64
_0457_,76.48
_0706_,76.2
_0319_,76.12
net93,75.52
xfer.xfer_dspi,75.49
xfer.din_data\[7\],74.9
_0347_,74.785
state\[5\],74.62
net112,74.2
_0460_,74.17
xfer.dout_tag\[1\],73.88
_0693_,73.46
_0328_,71.9
rd_addr\[17\],71.9
_0572_,71.66
_0367_,71.46
_0361_,71.28
xfer.din_data\[0\],71.07
_0524_,70.66
_0675_,70.4
_0461_,70.28
rd_addr\[2\],70.135
xfer.din_data\[5\],69.9
_0433_,69.68
net100,69.68
_0620_,69.59
_0338_,69.24
_0543_,68.35
xfer.obuffer\[6\],68.32
xfer.obuffer\[4\],68.04
net110,67.02
_0465_,66.38
_0668_,65.52
xfer.obuffer\[5\],65.02
net94,64.8
rd_addr\[21\],63.72
rd_addr\[11\],63.36
_0505_,63.2
_0492_,62.94
net106,62.3
state\[8\],62.24
xfer.din_data\[1\],61.48
xfer.din_data\[6\],61.18
_0375_,60
net105,59.16
rd_addr\[19\],58.48
_0334_,57.02
_0670_,56.9
xfer.obuffer\[0\],56.4
net91,56.32
xfer.din_tag\[1\],56.04
state\[11\],55.58
net90,55.18
net103,54.96
_0320_,54.905
_0466_,54.76
net1,54.66
xfer.xfer_rd,53.34
_0226_,53.16
_0733_,52.42
xfer.obuffer\[3\],52.36
xfer.obuffer\[2\],51.98
_0683_,51.86
_0515_,51.82
rd_addr\[6\],51.44
_0705_,49.38
_0544_,49.315
xfer.xfer_qspi,49.12
_0468_,48.92
_0434_,48.9
net30,48.72
_0041_,48.655
din_ddr,48.58
_0464_,48.34
net33,48.1
_0419_,47.92
_0327_,47.28
net38,46.88
net92,46.72
_0692_,46.6
_0540_,46.5
_0336_,46.44
_0445_,46.22
xfer.din_tag\[0\],45.8
_0568_,45.48
_0354_,45.26
rd_addr\[16\],45.18
_0075_,44.725
config_clk,44.48
_0317_,44.1
config_oe\[3\],43.62
net40,43.56
_0537_,43.44
xfer.flash_csb,43.34
_0383_,43.3
_0426_,43.1
_0477_,42.98
_0315_,42.62
_0439_,42.46
xfer.dout_tag\[2\],42.38
net37,42.02
_0170_,41.86
_0356_,41.54
_0482_,41.26
net108,40.96
net102,40.54
_0399_,40.5
_0447_,40.42
_0387_,40.26
_0516_,40.26
_0318_,40.18
state\[1\],40.08
_0393_,39.78
_0359_,39.6
_0392_,39.38
xfer.obuffer\[1\],39.28
rd_valid,39.22
xfer.din_data\[4\],39.18
net39,39.06
net95,39.02
xfer.dummy_count\[3\],38.86
_0458_,38.7
_0313_,38.44
_0610_,38.44
rd_addr\[23\],38.29
_0417_,38.22
_0412_,38.2
_0198_,37.52
rd_addr\[5\],36.98
_0143_,36.885
net99,36.68
_0131_,36.515
net36,36.36
_0357_,36.12
_0452_,35.72
rd_addr\[14\],35.68
rd_addr\[12\],35.58
_0379_,35.28
_0402_,35.22
_0607_,34.86
rd_addr\[22\],34.3
state\[3\],34.28
_0472_,34.06
_0725_,33.56
config_oe\[1\],32.7
xfer.flash_io0_do,32.545
_0323_,32.34
xfer.dout_tag\[0\],32.04
_0663_,32.02
rd_addr\[15\],32.02
_0695_,32
_0365_,31.94
xfer.flash_io3_do,31.715
_0428_,31.5
_0314_,31.18
_0404_,30.84
xfer.dummy_count\[2\],30.595
_0423_,30.5
_0408_,30.34
_0677_,30.28
_0699_,30.28
_0609_,30.115
xfer.din_tag\[2\],29.98
net81,29.96
net104,29.6
buffer\[21\],29.46
_0599_,29.26
xfer.xfer_tag\[2\],29.165
net31,29
_0724_,28.48
_0368_,28.32
xfer.xfer_tag\[0\],28.205
config_csb,27.74
_0424_,27.5
net12,27.32
_0388_,27.16
_0444_,27.1
net26,26.42
state\[9\],26.3
_0551_,26.22
xfer.flash_io1_do,25.815
_0287_,25.54
_0619_,25.5
rd_addr\[7\],25.175
_0440_,25.16
xfer.obuffer\[7\],24.82
_0475_,24.54
_0325_,24.5
buffer\[16\],24.42
_0510_,24.34
_0429_,23.66
_0435_,23.44
_0611_,23.28
_0702_,22.96
xfer.flash_io2_do,22.905
config_oe\[2\],22.62
net42,22.42
_0508_,22.32
_0617_,21.88
_0616_,21.84
net109,21.76
_0374_,21.375
_0202_,21.32
_0395_,21
_0425_,20.8
_0473_,20.78
net97,20.78
_0450_,20.68
rd_addr\[9\],20.24
_0520_,20.16
net107,19.78
_0353_,19.68
_0453_,19.68
_0548_,19.66
xfer.fetch,19.32
buffer\[22\],19.26
state\[6\],19.2
_0337_,19.08
_0590_,18.96
_0331_,18.86
_0679_,18.74
_0511_,18.38
_0614_,18.26
state\[7\],18.2
_0587_,17.94
_0539_,17.8
net101,17.8
_0330_,17.72
_0200_,17.6
_0224_,17.48
config_ddr,17.48
xfer.dummy_count\[0\],17.42
_0557_,17.405
_0311_,17.36
buffer\[0\],17.36
_0688_,17.26
net98,17.26
_0414_,17.24
xfer.xfer_tag\[1\],17.105
_0352_,17.075
buffer\[4\],16.9
_0221_,16.88
_0496_,16.86
net79,16.76
xfer.resetn,16.64
_0744_,16.42
net35,16.42
_0416_,16.26
rd_addr\[0\],16.2
softreset,16.02
_0394_,15.94
buffer\[17\],15.86
buffer\[3\],15.8
_0672_,15.74
_0554_,15.72
_0665_,15.48
net89,15
xfer.flash_clk,14.8
_0401_,14.7
buffer\[9\],14.62
net64,14.58
buffer\[1\],14.57
net69,14.5
buffer\[2\],14.42
net77,14.38
net73,14.04
_0398_,13.98
_0623_,13.82
_0400_,13.72
_0462_,13.72
buffer\[12\],13.72
_0413_,13.56
_0211_,13.54
buffer\[6\],13.5
_0218_,13.485
_0003_,13.325
_0255_,13.12
_0342_,13.06
_0759_,13
rdata[5],12.97
_0682_,12.85
_0430_,12.8
_0517_,12.76
_0154_,12.705
_0355_,12.64
_0405_,12.64
_0489_,12.64
_0299_,12.62
_0171_,12.54
rd_wait,12.42
buffer\[19\],12.4
_0470_,12.36
buffer\[5\],12.34
buffer\[10\],12.32
_0213_,12.24
_0231_,12.24
_0431_,12.22
_0432_,12.22
_0263_,12.2
_0290_,12.16
_0558_,12.16
buffer\[20\],12.12
net34,12.12
net70,12.12
_0603_,12.04
net29,12
addr[4],11.83
_0259_,11.82
_0322_,11.82
xfer.dummy_count\[1\],11.815
net63,11.78
_0411_,11.76
_0758_,11.58
_0583_,11.56
_0340_,11.49
_0502_,11.455
_0005_,11.285
xfer.din_valid,11.16
_0266_,11.14
_0182_,11.12
_0302_,11.12
net32,11.1
buffer\[18\],11.06
_0710_,10.86
_0728_,10.86
_0222_,10.79
_0498_,10.78
_0761_,10.72
_0181_,10.66
_0203_,10.66
_0743_,10.66
_0406_,10.44
_0760_,10.4
_0206_,10.32
_0351_,10.28
_0732_,10.24
_0689_,10.16
xfer.xfer_ddr_q,10.16
addr[19],10.11
addr[1],10.11
buffer\[13\],10.04
_0364_,10.02
xfer.count\[2\],9.98
_0343_,9.94
_0178_,9.86
_0362_,9.82
_0527_,9.82
_0185_,9.78
_0238_,9.72
_0713_,9.72
buffer\[11\],9.7
_0188_,9.64
_0335_,9.54
_0407_,9.52
_0116_,9.445
_0186_,9.44
_0276_,9.44
_0612_,9.44
buffer\[8\],9.4
net60,9.4
net68,9.4
_0657_,9.36
addr[9],9.31
cfgreg_we[2],9.31
_0711_,9.28
_0243_,9.22
_0664_,9.1
net53,9.06
net67,9.06
_0667_,9.02
_0001_,8.985
_0183_,8.98
_0545_,8.98
_0120_,8.945
_0332_,8.915
_0216_,8.9
_0764_,8.9
net88,8.9
_0004_,8.865
_0277_,8.86
_0676_,8.86
_0694_,8.86
resetn,8.84
_0125_,8.76
_0199_,8.76
_0179_,8.74
_0518_,8.66
_0691_,8.58
_0251_,8.56
_0326_,8.56
_0593_,8.56
_0637_,8.56
_0525_,8.5
_0671_,8.49
_0403_,8.44
_0189_,8.4
addr[11],8.39
addr[21],8.39
_0646_,8.36
rd_addr\[1\],8.36
state\[2\],8.3
_0076_,8.275
addr[13],8.27
addr[15],8.27
addr[17],8.27
addr[23],8.27
addr[3],8.27
addr[5],8.27
addr[7],8.27
cfgreg_we[0],8.27
_0212_,8.24
_0613_,8.24
_0158_,8.225
net25,8.16
net61,8.14
_0209_,8.1
_0570_,8.1
_0204_,8.06
_0531_,8.06
_0582_,8.06
_0346_,8.04
_0596_,8.04
net54,8.04
net55,8.04
_0219_,8.02
net62,8.02
_0712_,7.94
net41,7.92
_0391_,7.9
_0628_,7.9
_0121_,7.88
_0369_,7.86
_0280_,7.84
_0084_,7.805
_0080_,7.8
_0339_,7.725
_0275_,7.68
_0734_,7.68
_0217_,7.64
_0220_,7.64
rd_addr\[13\],7.6
_0136_,7.565
_0521_,7.56
_0565_,7.56
_0687_,7.52
_0757_,7.48
_0085_,7.42
_0488_,7.36
_0678_,7.32
_0127_,7.305
_0140_,7.305
_0054_,7.265
net28,7.24
addr[10],7.23
addr[12],7.23
addr[18],7.23
addr[20],7.23
cfgreg_we[1],7.23
valid,7.23
_0622_,7.18
_0180_,7.14
_0103_,7.105
_0546_,7.1
_0575_,7.1
_0720_,7.1
_0756_,7.1
buffer\[15\],7.1
_0707_,7.08
_0247_,7.06
_0264_,7.06
_0040_,7.045
_0191_,6.92
buffer\[23\],6.88
_0223_,6.86
_0274_,6.78
addr[14],6.77
addr[16],6.77
addr[22],6.77
addr[2],6.77
addr[6],6.77
addr[8],6.77
cfgreg_di[11],6.77
cfgreg_di[17],6.77
cfgreg_di[19],6.77
cfgreg_di[1],6.77
cfgreg_di[21],6.77
cfgreg_di[31],6.77
cfgreg_di[3],6.77
cfgreg_di[5],6.77
cfgreg_di[9],6.77
net121,6.77
net114,6.77
_0641_,6.76
_0754_,6.76
_0083_,6.685
_0604_,6.66
_0577_,6.64
_0296_,6.6
_0176_,6.46
cfgreg_di[0],6.43
cfgreg_di[10],6.43
cfgreg_di[16],6.43
cfgreg_di[18],6.43
cfgreg_di[20],6.43
cfgreg_di[22],6.43
cfgreg_di[2],6.43
cfgreg_di[4],6.43
cfgreg_di[8],6.43
net118,6.43
net123,6.43
net125,6.43
net126,6.43
net127,6.43
net116,6.43
cfgreg_we[3],6.43
_0151_,6.425
_0467_,6.4
_0036_,6.365
_0048_,6.365
_0360_,6.32
flash_io1_di,6.31
_0240_,6.3
_0256_,6.3
_0372_,6.3
_0751_,6.3
_0752_,6.3
_0092_,6.265
_0177_,6.26
_0762_,6.26
xfer.last_fetch,6.26
addr[0],6.23
_0008_,6.225
_0197_,6.18
_0594_,6.18
_0763_,6.18
net66,6.18
_0283_,6.14
_0306_,6.14
_0709_,6.14
_0273_,6.1
cfgreg_do[17],6.09
rdata[0],6.09
_0050_,6.08
_0087_,6.08
_0010_,6.04
_0215_,6.02
_0160_,6.005
flash_io3_di,5.97
_0418_,5.92
_0207_,5.8
cfgreg_do[0],5.75
cfgreg_do[10],5.75
cfgreg_do[11],5.75
net117,5.75
net119,5.75
net120,5.75
cfgreg_do[16],5.75
cfgreg_do[18],5.75
cfgreg_do[19],5.75
cfgreg_do[1],5.75
cfgreg_do[20],5.75
cfgreg_do[21],5.75
cfgreg_do[22],5.75
net122,5.75
net124,5.75
cfgreg_do[2],5.75
cfgreg_do[31],5.75
cfgreg_do[3],5.75
cfgreg_do[4],5.75
cfgreg_do[5],5.75
net115,5.75
cfgreg_do[8],5.75
cfgreg_do[9],5.75
rdata[10],5.75
rdata[11],5.75
rdata[12],5.75
rdata[13],5.75
rdata[14],5.75
rdata[15],5.75
rdata[16],5.75
rdata[17],5.75
rdata[18],5.75
rdata[19],5.75
rdata[1],5.75
rdata[20],5.75
rdata[21],5.75
rdata[22],5.75
rdata[23],5.75
rdata[24],5.75
rdata[25],5.75
rdata[26],5.75
rdata[27],5.75
rdata[28],5.75
rdata[29],5.75
rdata[2],5.75
rdata[30],5.75
rdata[31],5.75
rdata[3],5.75
rdata[4],5.75
rdata[6],5.75
rdata[7],5.75
rdata[8],5.75
rdata[9],5.75
ready,5.75
_0260_,5.74
_0704_,5.74
_0595_,5.72
_0208_,5.68
_0298_,5.68
_0552_,5.68
_0755_,5.68
flash_io1_do,5.63
_0081_,5.62
_0133_,5.605
_0384_,5.6
_0108_,5.58
_0377_,5.56
_0115_,5.555
_0011_,5.545
_0044_,5.525
_0101_,5.525
_0729_,5.5
state\[10\],5.48
_0205_,5.38
_0480_,5.38
_0495_,5.38
_0701_,5.38
_0721_,5.38
net27,5.38
_0007_,5.365
net131,5.34
_0123_,5.34
_0184_,5.34
_0187_,5.34
_0279_,5.34
_0289_,5.34
_0380_,5.34
buffer\[7\],5.34
_0137_,5.32
flash_clk,5.29
flash_io1_oe,5.29
flash_io3_do,5.29
flash_io3_oe,5.29
_0268_,5.28
_0736_,5.28
_0058_,5.265
_0106_,5.265
_0642_,5.26
_0025_,5.245
_0282_,5.22
_0532_,5.22
_0561_,5.22
_0730_,5.22
buffer\[14\],5.16
_0035_,5.085
_0100_,5.065
_0513_,5.06
_0126_,5.045
_0293_,5.02
_0443_,5
_0153_,4.965
flash_io2_di,4.95
_0441_,4.94
_0307_,4.92
_0562_,4.92
_0310_,4.88
_0381_,4.88
_0490_,4.88
_0024_,4.845
_0077_,4.845
_0086_,4.845
_0088_,4.845
_0112_,4.845
_0134_,4.845
_0165_,4.845
_0269_,4.8
_0469_,4.8
_0649_,4.8
_0681_,4.8
_0344_,4.78
_0190_,4.76
_0564_,4.76
_0653_,4.76
_0118_,4.705
_0105_,4.605
_0512_,4.54
_0169_,4.525
_0270_,4.46
_0341_,4.46
_0385_,4.46
_0639_,4.46
_0074_,4.425
_0135_,4.425
_0192_,4.42
_0281_,4.42
_0308_,4.42
_0560_,4.42
_0586_,4.42
_0618_,4.42
_0625_,4.42
_0716_,4.42
_0012_,4.385
_0056_,4.385
_0257_,4.36
_0386_,4.36
_0476_,4.36
_0148_,4.34
_0175_,4.34
_0529_,4.34
_0647_,4.34
_0742_,4.34
flash_io0_di,4.27
_0130_,4.24
_0329_,4.22
_0038_,4.165
_0113_,4.165
_0051_,4.12
_0415_,4.11
_0285_,4.08
_0370_,4.08
_0463_,4.08
_0155_,4.045
_0201_,4.02
_0252_,4.02
net129,4
_0242_,4
_0305_,4
_0576_,4
_0644_,4
flash_csb,3.93
flash_io0_do,3.93
flash_io0_oe,3.93
flash_io2_do,3.93
flash_io2_oe,3.93
_0295_,3.9
_0584_,3.9
_0697_,3.88
_0139_,3.865
_0312_,3.86
_0079_,3.805
_0132_,3.805
_0042_,3.78
_0501_,3.78
_0096_,3.755
_0172_,3.74
_0442_,3.74
_0245_,3.68
_0396_,3.66
_0037_,3.585
_0246_,3.56
_0745_,3.56
_0588_,3.54
_0661_,3.54
_0719_,3.54
_0506_,3.52
_0022_,3.465
_0069_,3.465
_0090_,3.465
_0164_,3.465
_0740_,3.44
_0746_,3.44
_0244_,3.42
_0261_,3.42
_0294_,3.42
_0659_,3.42
_0666_,3.42
_0145_,3.375
_0150_,3.345
_0109_,3.32
_0254_,3.32
xfer_io1_90,3.32
_0509_,3.3
_0152_,3.245
_0168_,3.245
_0052_,3.225
_0119_,3.225
_0389_,3.22
_0598_,3.22
_0019_,3.165
_0070_,3.165
_0138_,3.125
_0420_,3.1
xfer_io0_90,3.1
_0248_,3.08
_0300_,3.08
_0409_,3.08
_0615_,3.08
_0650_,3.08
_0739_,3.08
_0060_,3.045
_0089_,3.045
